,동별,소계,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,65세 이상,65세 이상 비율
0,화곡1동,52647,3232,2356,1591,990,387,145,34,5,8353,0.15866051246984633
1,방화1동,42851,2708,1815,1177,783,376,142,41,8,6674,0.15574899068866538
2,등촌3동,30025,2489,1566,1163,934,591,257,59,6,6474,0.2156203164029975
3,우장산동,42883,2356,1691,1131,644,269,100,17,6,5945,0.13863302474173916
4,방화3동,22544,1892,1389,960,694,396,159,43,4,5141,0.2280429382540809
5,화곡본동,34121,1976,1331,917,558,261,88,22,7,4899,0.14357726913044752
6,발산1동,36236,1788,1329,948,621,302,116,25,5,4832,0.13334805166133126
7,방화2동,23371,1794,1181,899,671,349,114,28,3,4690,0.2006760515168371
8,염창동,41628,1855,1201,750,512,243,71,18,2,4409,0.10591428845969059
9,화곡8동,24415,1647,1228,896,548,192,60,12,3,4394,0.17997132910096253
10,공항동,30927,1649,1051,809,537,248,104,28,2,4180,0.13515698257186276
11,화곡3동,21603,1587,1173,759,484,184,78,19,2,4102,0.18988103504142942
12,가양2동,13902,1625,1056,721,549,313,105,25,2,4083,0.2936987483815278
13,화곡6동,25303,1643,1117,643,454,209,75,15,3,3950,0.15610797138679208
14,화곡4동,20514,1507,1028,744,472,212,73,15,1,3840,0.18718923661889442
15,가양3동,14678,1327,975,704,525,234,72,27,3,3633,0.24751328518871782
16,등촌2동,19855,1308,898,537,338,173,81,19,2,3183,0.16031226391337194
17,가양1동,34359,1439,748,479,357,193,60,18,5,3106,0.09039844000116418
18,화곡2동,17785,1175,789,574,342,121,40,12,0,2932,0.16485802642676411
19,등촌1동,24991,1003,678,475,445,291,130,25,8,2764,0.11059981593373615
